Retención 100%
104768318.67
103749832.10
104700419.57
104021428.52
107484282.86
103817731.21
106941090.03
101984455.38
108434870.33
110268146.16
105379410.62
104157226.73
106126300.77
110268146.16
104496722.25
104564621.36
102731345.53
106262098.98
104700419.57
108570668.54
107755879.28
105922603.45
103274538.37
104089327.62
105175713.30
102935042.84
103206639.26
109385457.80
105990502.56
105990502.56
102595547.32
109385457.80
103138740.16
103070841.05
106805291.82
102731345.53
104700419.57
107008989.13
103817731.21
103002941.95
102935042.84
106058401.66
104089327.62
104428823.15
103681933.00
106329998.08
102731345.53
100490675.07
103953529.42
105718906.14
106397897.19
101848657.17
106194199.87
103885630.31
108434870.33
108842264.96
101101767.01
101577060.75
103342437.47
108978063.17
102731345.53
105718906.14
104360924.04
105990502.56
102323950.90
101169666.12
102188152.69
101848657.17
109860751.53
105718906.14
107552181.97
105854704.35
104904116.88
104564621.36
106805291.82
104157226.73
100694372.39
104904116.88
105379410.62
105651007.03
104428823.15
104496722.25
105922603.45
105379410.62
107416383.76
100762271.49
101712858.96
107076888.24
103885630.31
103546134.79
109453356.90
102731345.53
104360924.04
108706466.75
105854704.35
100151179.55
104700419.57
107348484.65
112182105.51
106533695.40
104836217.78
106533695.40
104768318.67
106126300.77
108095374.81
105583107.93
104428823.15
104700419.57
106873190.92
108842264.96
105107814.20
105922603.45
106262098.98
102799244.63
108366971.23
103885630.31
107280585.55
104904116.88
110471843.47
105447309.72
107823778.39
107008989.13
106126300.77
103002941.95
106737392.71
104972015.99
102052354.48
103817731.21
106397897.19
102256051.80
103274538.37
106397897.19
105515208.83
107484282.86
107552181.97
107008989.13
103410336.58
104089327.62
100219078.65
102663446.42
102663446.42
103681933.00
109045962.27
106873190.92
105651007.03
101373363.43
107144787.34
98657399.24
103817731.21
100151179.55
101441262.54
104496722.25
109860751.53
106058401.66
105651007.03
100151179.55
104564621.36
106601594.50
103070841.05
102120253.59
106941090.03
112780413.04
104496722.25
104972015.99
108706466.75
106533695.40
100151179.55
103138740.16
101712858.96
103478235.68
100286977.76
103546134.79
102595547.32
103953529.42
114996894.77
104496722.25
102256051.80
103953529.42
107280585.55
101984455.38
107076888.24
105447309.72
104836217.78
105379410.62
102391850.01
102935042.84
105583107.93
105990502.56
106533695.40
105718906.14
102120253.59
107008989.13
103070841.05
108299072.12
103478235.68
103410336.58
108706466.75
108706466.75
101780758.06
105447309.72
108570668.54
104360924.04
103681933.00
104836217.78
103885630.31
101237565.22
106601594.50
109589155.11
105990502.56
101712858.96
104700419.57
105651007.03
100762271.49
112101421.99
105854704.35
103817731.21
103953529.42
97774710.88
104496722.25
110539742.58
103410336.58
107687980.18
111150834.52
101644959.85
112916211.25
104972015.99
104089327.62
102799244.63
105651007.03
105243612.41
105651007.03
104021428.52
103749832.10
105922603.45
102120253.59
100151179.55
106533695.40
107484282.86
105515208.83
105311511.51
106126300.77
106397897.19
105922603.45
104700419.57
99132692.98
107484282.86
104836217.78
106941090.03
105039915.09
104836217.78
110064448.85
105447309.72
106126300.77
103070841.05
104360924.04
104564621.36
102527648.22
107552181.97
102188152.69
109589155.11
103546134.79
103274538.37
105651007.03
104089327.62
101101767.01
100898069.70
105311511.51
106397897.19
108366971.23
105447309.72
103614033.89
103206639.26
107620081.07
108502769.44
107959576.60
105243612.41
101916556.27
107008989.13
101373363.43
107755879.28
100286977.76
107280585.55
102459749.11
108502769.44
103206639.26
103206639.26
102799244.63
100015381.34
107552181.97
110675540.79
101644959.85
100626473.28
103749832.10
107008989.13
107823778.39
105447309.72
104632520.46
106941090.03
102731345.53
103546134.79
105786805.24
106941090.03
102052354.48
108366971.23
106873190.92
104564621.36
99132692.98
